MLP vs CNN CIFAR-10 Results
==================================================

MLP Test Loss: 1.9247
MLP Test Accuracy: 34.00%
MLP Training Time: 14.14 seconds

CNN Test Loss: 1.9399
CNN Test Accuracy: 33.50%
CNN Training Time: 63.37 seconds

Per-Class Accuracy
--------------------------------------------------
Class                   MLP         CNN
airplane             56.67%      53.33%
automobile           31.67%      33.33%
bird                 10.00%       5.00%
cat                  10.00%       8.33%
deer                 25.00%      18.33%
dog                  30.00%      35.00%
frog                 53.33%      45.00%
horse                16.67%      40.00%
ship                 48.33%      36.67%
truck                58.33%      60.00%
