MLP vs CNN CIFAR-10 Results
==================================================

MLP Test Loss: 2.4924
MLP Test Accuracy: 40.83%
MLP Training Time: 4.85 seconds

CNN Test Loss: 2.5148
CNN Test Accuracy: 54.33%
CNN Training Time: 24.85 seconds

Per-Class Accuracy
--------------------------------------------------
Class                   MLP         CNN
airplane             51.67%      56.67%
automobile           51.67%      73.33%
bird                 31.67%      40.00%
cat                  23.33%      35.00%
deer                 35.00%      50.00%
dog                  40.00%      60.00%
frog                 56.67%      60.00%
horse                41.67%      60.00%
ship                 48.33%      60.00%
truck                28.33%      48.33%
