MLP vs CNN CIFAR-10 Results
==================================================

MLP Test Loss: 1.7688
MLP Test Accuracy: 39.83%
MLP Training Time: 10.27 seconds

CNN Test Loss: 2.0356
CNN Test Accuracy: 28.17%
CNN Training Time: 53.00 seconds

Per-Class Accuracy
--------------------------------------------------
Class                   MLP         CNN
airplane             51.67%      46.67%
automobile           41.67%      21.67%
bird                 30.00%       0.00%
cat                  28.33%      10.00%
deer                 16.67%       0.00%
dog                  28.33%      46.67%
frog                 60.00%      55.00%
horse                40.00%      11.67%
ship                 51.67%      35.00%
truck                50.00%      55.00%
